encoding 865401 positions from 8 files
  200000/865401 (6s)
  400000/865401 (12s)
  600000/865401 (19s)
  800000/865401 (26s)
train 822131 val 43270 hidden 256 params 197633
{"epoch": 1, "train_loss": 0.022024249086285582, "val_loss": 0.007693835534155369, "val_mae_cp": 147.88011169433594, "val_sign_acc": 0.9269239902496338, "seconds": 535.5786917209625}
{"epoch": 2, "train_loss": 0.007253341450549588, "val_loss": 0.006924650631844997, "val_mae_cp": 147.7208251953125, "val_sign_acc": 0.9325629472732544, "seconds": 628.8658442497253}
{"epoch": 3, "train_loss": 0.006449933417399626, "val_loss": 0.0061852699145674706, "val_mae_cp": 141.94851684570312, "val_sign_acc": 0.9376473426818848, "seconds": 939.3424115180969}
{"epoch": 4, "train_loss": 0.005764167170307719, "val_loss": 0.005648556165397167, "val_mae_cp": 139.04229736328125, "val_sign_acc": 0.9423388242721558, "seconds": 1197.4732971191406}
{"epoch": 5, "train_loss": 0.005275726000234337, "val_loss": 0.005426086485385895, "val_mae_cp": 137.15809631347656, "val_sign_acc": 0.9462214112281799, "seconds": 833.9343285560608}
{"epoch": 6, "train_loss": 0.005110788896753646, "val_loss": 0.005297658499330282, "val_mae_cp": 136.3598175048828, "val_sign_acc": 0.947030246257782, "seconds": 507.4268548488617}
{"epoch": 7, "train_loss": 0.004967881601746425, "val_loss": 0.005183408502489328, "val_mae_cp": 135.84315490722656, "val_sign_acc": 0.9476080536842346, "seconds": 440.7974441051483}
{"epoch": 8, "train_loss": 0.004834644883723542, "val_loss": 0.005076313856989145, "val_mae_cp": 135.08563232421875, "val_sign_acc": 0.948555588722229, "seconds": 407.6056408882141}
{"epoch": 9, "train_loss": 0.00471330560872903, "val_loss": 0.005026640836149454, "val_mae_cp": 134.79722595214844, "val_sign_acc": 0.9490178227424622, "seconds": 461.150048494339}
{"epoch": 10, "train_loss": 0.004674947479426271, "val_loss": 0.004998672287911177, "val_mae_cp": 134.73443603515625, "val_sign_acc": 0.9491333365440369, "seconds": 487.0621700286865}
{"epoch": 11, "train_loss": 0.0046378708684282136, "val_loss": 0.004966387525200844, "val_mae_cp": 134.54933166503906, "val_sign_acc": 0.9495031237602234, "seconds": 442.110728263855}
{"epoch": 12, "train_loss": 0.004602691163262814, "val_loss": 0.004938960075378418, "val_mae_cp": 134.34703063964844, "val_sign_acc": 0.949641764163971, "seconds": 427.36886715888977}
saved models/nnue_h256.pt
