game 33/100: A white -> loss (checkmate, 98 plies)  |  A vs B: +13 =7 -13 over 33 games, score 50.0%, elo -0 (95% -110..+110), avg plies 107, checkmate 26, insufficient_material 1, threefold_repetition 6
game 34/100: A black -> draw (threefold_repetition, 176 plies)  |  A vs B: +13 =8 -13 over 34 games, score 50.0%, elo -0 (95% -107..+107), avg plies 109, checkmate 26, insufficient_material 1, threefold_repetition 7
game 35/100: A white -> win (checkmate, 97 plies)  |  A vs B: +14 =8 -13 over 35 games, score 51.4%, elo +10 (95% -95..+117), avg plies 108, checkmate 27, insufficient_material 1, threefold_repetition 7
game 36/100: A black -> win (checkmate, 156 plies)  |  A vs B: +15 =8 -13 over 36 games, score 52.8%, elo +19 (95% -84..+126), avg plies 110, checkmate 28, insufficient_material 1, threefold_repetition 7
game 37/100: A white -> win (checkmate, 107 plies)  |  A vs B: +16 =8 -13 over 37 games, score 54.1%, elo +28 (95% -73..+135), avg plies 110, checkmate 29, insufficient_material 1, threefold_repetition 7
game 38/100: A black -> loss (checkmate, 107 plies)  |  A vs B: +16 =8 -14 over 38 games, score 52.6%, elo +18 (95% -83..+122), avg plies 110, checkmate 30, insufficient_material 1, threefold_repetition 7
game 39/100: A white -> win (checkmate, 67 plies)  |  A vs B: +17 =8 -14 over 39 games, score 53.8%, elo +27 (95% -72..+131), avg plies 109, checkmate 31, insufficient_material 1, threefold_repetition 7
game 40/100: A black -> loss (checkmate, 53 plies)  |  A vs B: +17 =8 -15 over 40 games, score 52.5%, elo +17 (95% -81..+119), avg plies 107, checkmate 32, insufficient_material 1, threefold_repetition 7
game 41/100: A white -> win (checkmate, 119 plies)  |  A vs B: +18 =8 -15 over 41 games, score 53.7%, elo +25 (95% -72..+127), avg plies 107, checkmate 33, insufficient_material 1, threefold_repetition 7
game 42/100: A black -> win (checkmate, 118 plies)  |  A vs B: +19 =8 -15 over 42 games, score 54.8%, elo +33 (95% -63..+135), avg plies 108, checkmate 34, insufficient_material 1, threefold_repetition 7
game 43/100: A white -> win (checkmate, 181 plies)  |  A vs B: +20 =8 -15 over 43 games, score 55.8%, elo +41 (95% -54..+142), avg plies 109, checkmate 35, insufficient_material 1, threefold_repetition 7
game 44/100: A black -> loss (checkmate, 127 plies)  |  A vs B: +20 =8 -16 over 44 games, score 54.5%, elo +32 (95% -63..+131), avg plies 110, checkmate 36, insufficient_material 1, threefold_repetition 7
game 45/100: A white -> win (checkmate, 93 plies)  |  A vs B: +21 =8 -16 over 45 games, score 55.6%, elo +39 (95% -54..+138), avg plies 109, checkmate 37, insufficient_material 1, threefold_repetition 7
game 46/100: A black -> loss (checkmate, 167 plies)  |  A vs B: +21 =8 -17 over 46 games, score 54.3%, elo +30 (95% -62..+127), avg plies 111, checkmate 38, insufficient_material 1, threefold_repetition 7
game 47/100: A white -> draw (threefold_repetition, 112 plies)  |  A vs B: +21 =9 -17 over 47 games, score 54.3%, elo +30 (95% -61..+125), avg plies 111, checkmate 38, insufficient_material 1, threefold_repetition 8
game 48/100: A black -> loss (checkmate, 173 plies)  |  A vs B: +21 =9 -18 over 48 games, score 53.1%, elo +22 (95% -68..+115), avg plies 112, checkmate 39, insufficient_material 1, threefold_repetition 8
