game 33/100: A white -> draw (threefold_repetition, 138 plies)  |  A vs B: +14 =8 -11 over 33 games, score 54.5%, elo +32 (95% -74..+143), avg plies 125, checkmate 25, insufficient_material 2, threefold_repetition 6
game 34/100: A black -> loss (checkmate, 113 plies)  |  A vs B: +14 =8 -12 over 34 games, score 52.9%, elo +20 (95% -85..+130), avg plies 124, checkmate 26, insufficient_material 2, threefold_repetition 6
game 35/100: A white -> draw (threefold_repetition, 86 plies)  |  A vs B: +14 =9 -12 over 35 games, score 52.9%, elo +20 (95% -82..+125), avg plies 123, checkmate 26, insufficient_material 2, threefold_repetition 7
game 36/100: A black -> win (checkmate, 120 plies)  |  A vs B: +15 =9 -12 over 36 games, score 54.2%, elo +29 (95% -71..+135), avg plies 123, checkmate 27, insufficient_material 2, threefold_repetition 7
game 37/100: A white -> win (checkmate, 131 plies)  |  A vs B: +16 =9 -12 over 37 games, score 55.4%, elo +38 (95% -61..+143), avg plies 123, checkmate 28, insufficient_material 2, threefold_repetition 7
game 38/100: A black -> draw (insufficient_material, 108 plies)  |  A vs B: +16 =10 -12 over 38 games, score 55.3%, elo +37 (95% -59..+139), avg plies 123, checkmate 28, insufficient_material 3, threefold_repetition 7
game 39/100: A white -> win (checkmate, 123 plies)  |  A vs B: +17 =10 -12 over 39 games, score 56.4%, elo +45 (95% -50..+147), avg plies 123, checkmate 29, insufficient_material 3, threefold_repetition 7
game 40/100: A black -> draw (threefold_repetition, 100 plies)  |  A vs B: +17 =11 -12 over 40 games, score 56.2%, elo +44 (95% -49..+143), avg plies 122, checkmate 29, insufficient_material 3, threefold_repetition 8
game 41/100: A white -> win (checkmate, 143 plies)  |  A vs B: +18 =11 -12 over 41 games, score 57.3%, elo +51 (95% -40..+150), avg plies 123, checkmate 30, insufficient_material 3, threefold_repetition 8
game 42/100: A black -> win (checkmate, 82 plies)  |  A vs B: +19 =11 -12 over 42 games, score 58.3%, elo +58 (95% -32..+158), avg plies 122, checkmate 31, insufficient_material 3, threefold_repetition 8
game 43/100: A white -> win (checkmate, 119 plies)  |  A vs B: +20 =11 -12 over 43 games, score 59.3%, elo +65 (95% -24..+164), avg plies 122, checkmate 32, insufficient_material 3, threefold_repetition 8
game 44/100: A black -> loss (checkmate, 77 plies)  |  A vs B: +20 =11 -13 over 44 games, score 58.0%, elo +56 (95% -33..+153), avg plies 121, checkmate 33, insufficient_material 3, threefold_repetition 8
game 45/100: A white -> draw (threefold_repetition, 56 plies)  |  A vs B: +20 =12 -13 over 45 games, score 57.8%, elo +54 (95% -32..+149), avg plies 119, checkmate 33, insufficient_material 3, threefold_repetition 9
game 46/100: A black -> draw (threefold_repetition, 108 plies)  |  A vs B: +20 =13 -13 over 46 games, score 57.6%, elo +53 (95% -32..+145), avg plies 119, checkmate 33, insufficient_material 3, threefold_repetition 10
game 47/100: A white -> draw (threefold_repetition, 132 plies)  |  A vs B: +20 =14 -13 over 47 games, score 57.4%, elo +52 (95% -31..+142), avg plies 119, checkmate 33, insufficient_material 3, threefold_repetition 11
game 48/100: A black -> loss (checkmate, 183 plies)  |  A vs B: +20 =14 -14 over 48 games, score 56.2%, elo +44 (95% -39..+132), avg plies 121, checkmate 34, insufficient_material 3, threefold_repetition 11
game 49/100: A white -> loss (checkmate, 166 plies)  |  A vs B: +20 =14 -15 over 49 games, score 55.1%, elo +36 (95% -47..+123), avg plies 122, checkmate 35, insufficient_material 3, threefold_repetition 11
game 50/100: A black -> win (checkmate, 72 plies)  |  A vs B: +21 =14 -15 over 50 games, score 56.0%, elo +42 (95% -40..+129), avg plies 121, checkmate 36, insufficient_material 3, threefold_repetition 11
game 51/100: A white -> draw (threefold_repetition, 95 plies)  |  A vs B: +21 =15 -15 over 51 games, score 55.9%, elo +41 (95% -39..+126), avg plies 120, checkmate 36, insufficient_material 3, threefold_repetition 12
game 52/100: A black -> win (checkmate, 142 plies)  |  A vs B: +22 =15 -15 over 52 games, score 56.7%, elo +47 (95% -33..+132), avg plies 121, checkmate 37, insufficient_material 3, threefold_repetition 12
game 53/100: A white -> win (checkmate, 109 plies)  |  A vs B: +23 =15 -15 over 53 games, score 57.5%, elo +53 (95% -26..+138), avg plies 120, checkmate 38, insufficient_material 3, threefold_repetition 12
game 54/100: A black -> loss (checkmate, 115 plies)  |  A vs B: +23 =15 -16 over 54 games, score 56.5%, elo +45 (95% -34..+129), avg plies 120, checkmate 39, insufficient_material 3, threefold_repetition 12
game 55/100: A white -> loss (checkmate, 140 plies)  |  A vs B: +23 =15 -17 over 55 games, score 55.5%, elo +38 (95% -41..+121), avg plies 121, checkmate 40, insufficient_material 3, threefold_repetition 12
game 56/100: A black -> win (checkmate, 138 plies)  |  A vs B: +24 =15 -17 over 56 games, score 56.2%, elo +44 (95% -34..+126), avg plies 121, checkmate 41, insufficient_material 3, threefold_repetition 12
game 57/100: A white -> draw (threefold_repetition, 108 plies)  |  A vs B: +24 =16 -17 over 57 games, score 56.1%, elo +43 (95% -34..+124), avg plies 121, checkmate 41, insufficient_material 3, threefold_repetition 13
game 58/100: A black -> win (checkmate, 126 plies)  |  A vs B: +25 =16 -17 over 58 games, score 56.9%, elo +48 (95% -28..+129), avg plies 121, checkmate 42, insufficient_material 3, threefold_repetition 13
game 59/100: A white -> win (checkmate, 197 plies)  |  A vs B: +26 =16 -17 over 59 games, score 57.6%, elo +53 (95% -22..+134), avg plies 122, checkmate 43, insufficient_material 3, threefold_repetition 13
game 60/100: A black -> draw (threefold_repetition, 119 plies)  |  A vs B: +26 =17 -17 over 60 games, score 57.5%, elo +53 (95% -22..+132), avg plies 122, checkmate 43, insufficient_material 3, threefold_repetition 14
game 61/100: A white -> win (checkmate, 121 plies)  |  A vs B: +27 =17 -17 over 61 games, score 58.2%, elo +57 (95% -16..+137), avg plies 122, checkmate 44, insufficient_material 3, threefold_repetition 14
game 62/100: A black -> draw (threefold_repetition, 136 plies)  |  A vs B: +27 =18 -17 over 62 games, score 58.1%, elo +57 (95% -16..+134), avg plies 122, checkmate 44, insufficient_material 3, threefold_repetition 15
game 63/100: A white -> draw (threefold_repetition, 136 plies)  |  A vs B: +27 =19 -17 over 63 games, score 57.9%, elo +56 (95% -16..+132), avg plies 122, checkmate 44, insufficient_material 3, threefold_repetition 16
game 64/100: A black -> draw (threefold_repetition, 167 plies)  |  A vs B: +27 =20 -17 over 64 games, score 57.8%, elo +55 (95% -16..+130), avg plies 123, checkmate 44, insufficient_material 3, threefold_repetition 17
game 65/100: A white -> loss (checkmate, 116 plies)  |  A vs B: +27 =20 -18 over 65 games, score 56.9%, elo +48 (95% -22..+123), avg plies 123, checkmate 45, insufficient_material 3, threefold_repetition 17
game 66/100: A black -> draw (insufficient_material, 141 plies)  |  A vs B: +27 =21 -18 over 66 games, score 56.8%, elo +48 (95% -21..+121), avg plies 123, checkmate 45, insufficient_material 4, threefold_repetition 17
game 67/100: A white -> draw (threefold_repetition, 135 plies)  |  A vs B: +27 =22 -18 over 67 games, score 56.7%, elo +47 (95% -21..+119), avg plies 123, checkmate 45, insufficient_material 4, threefold_repetition 18
game 68/100: A black -> draw (threefold_repetition, 169 plies)  |  A vs B: +27 =23 -18 over 68 games, score 56.6%, elo +46 (95% -21..+117), avg plies 124, checkmate 45, insufficient_material 4, threefold_repetition 19
game 69/100: A white -> loss (checkmate, 92 plies)  |  A vs B: +27 =23 -19 over 69 games, score 55.8%, elo +40 (95% -27..+111), avg plies 124, checkmate 46, insufficient_material 4, threefold_repetition 19
game 70/100: A black -> win (checkmate, 128 plies)  |  A vs B: +28 =23 -19 over 70 games, score 56.4%, elo +45 (95% -22..+115), avg plies 124, checkmate 47, insufficient_material 4, threefold_repetition 19
game 71/100: A white -> win (checkmate, 73 plies)  |  A vs B: +29 =23 -19 over 71 games, score 57.0%, elo +49 (95% -17..+119), avg plies 123, checkmate 48, insufficient_material 4, threefold_repetition 19
game 72/100: A black -> loss (checkmate, 75 plies)  |  A vs B: +29 =23 -20 over 72 games, score 56.2%, elo +44 (95% -23..+113), avg plies 122, checkmate 49, insufficient_material 4, threefold_repetition 19
game 73/100: A white -> win (checkmate, 125 plies)  |  A vs B: +30 =23 -20 over 73 games, score 56.8%, elo +48 (95% -18..+117), avg plies 122, checkmate 50, insufficient_material 4, threefold_repetition 19
game 74/100: A black -> loss (checkmate, 143 plies)  |  A vs B: +30 =23 -21 over 74 games, score 56.1%, elo +42 (95% -23..+111), avg plies 123, checkmate 51, insufficient_material 4, threefold_repetition 19
game 75/100: A white -> draw (threefold_repetition, 131 plies)  |  A vs B: +30 =24 -21 over 75 games, score 56.0%, elo +42 (95% -23..+110), avg plies 123, checkmate 51, insufficient_material 4, threefold_repetition 20
game 76/100: A black -> loss (checkmate, 61 plies)  |  A vs B: +30 =24 -22 over 76 games, score 55.3%, elo +37 (95% -28..+104), avg plies 122, checkmate 52, insufficient_material 4, threefold_repetition 20
game 77/100: A white -> draw (threefold_repetition, 155 plies)  |  A vs B: +30 =25 -22 over 77 games, score 55.2%, elo +36 (95% -28..+103), avg plies 122, checkmate 52, insufficient_material 4, threefold_repetition 21
game 78/100: A black -> win (checkmate, 34 plies)  |  A vs B: +31 =25 -22 over 78 games, score 55.8%, elo +40 (95% -23..+107), avg plies 121, checkmate 53, insufficient_material 4, threefold_repetition 21
game 79/100: A white -> win (checkmate, 119 plies)  |  A vs B: +32 =25 -22 over 79 games, score 56.3%, elo +44 (95% -19..+111), avg plies 121, checkmate 54, insufficient_material 4, threefold_repetition 21
game 80/100: A black -> draw (threefold_repetition, 135 plies)  |  A vs B: +32 =26 -22 over 80 games, score 56.2%, elo +44 (95% -19..+109), avg plies 121, checkmate 54, insufficient_material 4, threefold_repetition 22
game 81/100: A white -> loss (checkmate, 108 plies)  |  A vs B: +32 =26 -23 over 81 games, score 55.6%, elo +39 (95% -24..+104), avg plies 121, checkmate 55, insufficient_material 4, threefold_repetition 22
game 82/100: A black -> loss (checkmate, 83 plies)  |  A vs B: +32 =26 -24 over 82 games, score 54.9%, elo +34 (95% -28..+99), avg plies 121, checkmate 56, insufficient_material 4, threefold_repetition 22
game 83/100: A white -> loss (checkmate, 130 plies)  |  A vs B: +32 =26 -25 over 83 games, score 54.2%, elo +29 (95% -33..+93), avg plies 121, checkmate 57, insufficient_material 4, threefold_repetition 22
game 84/100: A black -> loss (checkmate, 131 plies)  |  A vs B: +32 =26 -26 over 84 games, score 53.6%, elo +25 (95% -37..+89), avg plies 121, checkmate 58, insufficient_material 4, threefold_repetition 22
game 85/100: A white -> win (checkmate, 77 plies)  |  A vs B: +33 =26 -26 over 85 games, score 54.1%, elo +29 (95% -33..+92), avg plies 120, checkmate 59, insufficient_material 4, threefold_repetition 22
game 86/100: A black -> win (checkmate, 104 plies)  |  A vs B: +34 =26 -26 over 86 games, score 54.7%, elo +32 (95% -29..+96), avg plies 120, checkmate 60, insufficient_material 4, threefold_repetition 22
game 87/100: A white -> win (checkmate, 103 plies)  |  A vs B: +35 =26 -26 over 87 games, score 55.2%, elo +36 (95% -25..+100), avg plies 120, checkmate 61, insufficient_material 4, threefold_repetition 22
game 88/100: A black -> win (checkmate, 72 plies)  |  A vs B: +36 =26 -26 over 88 games, score 55.7%, elo +40 (95% -21..+103), avg plies 120, checkmate 62, insufficient_material 4, threefold_repetition 22
game 89/100: A white -> loss (checkmate, 126 plies)  |  A vs B: +36 =26 -27 over 89 games, score 55.1%, elo +35 (95% -26..+98), avg plies 120, checkmate 63, insufficient_material 4, threefold_repetition 22
game 90/100: A black -> draw (threefold_repetition, 152 plies)  |  A vs B: +36 =27 -27 over 90 games, score 55.0%, elo +35 (95% -25..+97), avg plies 120, checkmate 63, insufficient_material 4, threefold_repetition 23
game 91/100: A white -> win (checkmate, 9 plies)  |  A vs B: +37 =27 -27 over 91 games, score 55.5%, elo +38 (95% -22..+101), avg plies 119, checkmate 64, insufficient_material 4, threefold_repetition 23
game 92/100: A black -> loss (checkmate, 9 plies)  |  A vs B: +37 =27 -28 over 92 games, score 54.9%, elo +34 (95% -26..+96), avg plies 118, checkmate 65, insufficient_material 4, threefold_repetition 23
game 93/100: A white -> draw (threefold_repetition, 90 plies)  |  A vs B: +37 =28 -28 over 93 games, score 54.8%, elo +34 (95% -25..+95), avg plies 117, checkmate 65, insufficient_material 4, threefold_repetition 24
game 94/100: A black -> loss (checkmate, 69 plies)  |  A vs B: +37 =28 -29 over 94 games, score 54.3%, elo +30 (95% -29..+90), avg plies 117, checkmate 66, insufficient_material 4, threefold_repetition 24
game 95/100: A white -> draw (threefold_repetition, 184 plies)  |  A vs B: +37 =29 -29 over 95 games, score 54.2%, elo +29 (95% -29..+89), avg plies 117, checkmate 66, insufficient_material 4, threefold_repetition 25
game 96/100: A black -> win (checkmate, 146 plies)  |  A vs B: +38 =29 -29 over 96 games, score 54.7%, elo +33 (95% -25..+93), avg plies 118, checkmate 67, insufficient_material 4, threefold_repetition 25
game 97/100: A white -> win (checkmate, 83 plies)  |  A vs B: +39 =29 -29 over 97 games, score 55.2%, elo +36 (95% -22..+96), avg plies 117, checkmate 68, insufficient_material 4, threefold_repetition 25
game 98/100: A black -> win (checkmate, 52 plies)  |  A vs B: +40 =29 -29 over 98 games, score 55.6%, elo +39 (95% -19..+99), avg plies 117, checkmate 69, insufficient_material 4, threefold_repetition 25
game 99/100: A white -> draw (threefold_repetition, 53 plies)  |  A vs B: +40 =30 -29 over 99 games, score 55.6%, elo +39 (95% -18..+98), avg plies 116, checkmate 69, insufficient_material 4, threefold_repetition 26
game 100/100: A black -> win (checkmate, 148 plies)  |  A vs B: +41 =30 -29 over 100 games, score 56.0%, elo +42 (95% -15..+101), avg plies 116, checkmate 70, insufficient_material 4, threefold_repetition 26

A vs B: +41 =30 -29 over 100 games, score 56.0%, elo +42 (95% -15..+101), avg plies 116, checkmate 70, insufficient_material 4, threefold_repetition 26
wall 376s cpu 125s nodes/move 4000 a='' b='P_SEE_PRUNE_Q=0'
