game 34/100: A black -> draw (threefold_repetition, 143 plies)  |  A vs B: +15 =10 -9 over 34 games, score 58.8%, elo +62 (95% -36..+171), avg plies 115, checkmate 24, insufficient_material 2, stalemate 1, threefold_repetition 7
game 35/100: A white -> draw (insufficient_material, 107 plies)  |  A vs B: +15 =11 -9 over 35 games, score 58.6%, elo +60 (95% -35..+166), avg plies 115, checkmate 24, insufficient_material 3, stalemate 1, threefold_repetition 7
game 36/100: A black -> draw (threefold_repetition, 79 plies)  |  A vs B: +15 =12 -9 over 36 games, score 58.3%, elo +58 (95% -34..+160), avg plies 114, checkmate 24, insufficient_material 3, stalemate 1, threefold_repetition 8
game 37/100: A white -> draw (threefold_repetition, 150 plies)  |  A vs B: +15 =13 -9 over 37 games, score 58.1%, elo +57 (95% -33..+155), avg plies 115, checkmate 24, insufficient_material 3, stalemate 1, threefold_repetition 9
game 38/100: A black -> draw (insufficient_material, 134 plies)  |  A vs B: +15 =14 -9 over 38 games, score 57.9%, elo +55 (95% -32..+151), avg plies 116, checkmate 24, insufficient_material 4, stalemate 1, threefold_repetition 9
game 39/100: A white -> loss (checkmate, 64 plies)  |  A vs B: +15 =14 -10 over 39 games, score 56.4%, elo +45 (95% -43..+139), avg plies 114, checkmate 25, insufficient_material 4, stalemate 1, threefold_repetition 9
game 40/100: A black -> draw (threefold_repetition, 76 plies)  |  A vs B: +15 =15 -10 over 40 games, score 56.2%, elo +44 (95% -42..+135), avg plies 113, checkmate 25, insufficient_material 4, stalemate 1, threefold_repetition 10
game 41/100: A white -> win (checkmate, 157 plies)  |  A vs B: +16 =15 -10 over 41 games, score 57.3%, elo +51 (95% -34..+143), avg plies 114, checkmate 26, insufficient_material 4, stalemate 1, threefold_repetition 10
game 42/100: A black -> loss (checkmate, 81 plies)  |  A vs B: +16 =15 -11 over 42 games, score 56.0%, elo +42 (95% -43..+132), avg plies 114, checkmate 27, insufficient_material 4, stalemate 1, threefold_repetition 10
game 43/100: A white -> draw (threefold_repetition, 113 plies)  |  A vs B: +16 =16 -11 over 43 games, score 55.8%, elo +41 (95% -42..+128), avg plies 114, checkmate 27, insufficient_material 4, stalemate 1, threefold_repetition 11
game 44/100: A black -> loss (checkmate, 129 plies)  |  A vs B: +16 =16 -12 over 44 games, score 54.5%, elo +32 (95% -51..+118), avg plies 114, checkmate 28, insufficient_material 4, stalemate 1, threefold_repetition 11
game 45/100: A white -> draw (threefold_repetition, 151 plies)  |  A vs B: +16 =17 -12 over 45 games, score 54.4%, elo +31 (95% -50..+115), avg plies 115, checkmate 28, insufficient_material 4, stalemate 1, threefold_repetition 12
game 46/100: A black -> draw (threefold_repetition, 107 plies)  |  A vs B: +16 =18 -12 over 46 games, score 54.3%, elo +30 (95% -49..+113), avg plies 115, checkmate 28, insufficient_material 4, stalemate 1, threefold_repetition 13
game 47/100: A white -> draw (threefold_repetition, 131 plies)  |  A vs B: +16 =19 -12 over 47 games, score 54.3%, elo +30 (95% -48..+110), avg plies 115, checkmate 28, insufficient_material 4, stalemate 1, threefold_repetition 14
