game 33/100: A white -> draw (threefold_repetition, 114 plies)  |  A vs B: +14 =10 -9 over 33 games, score 57.6%, elo +53 (95% -46..+162), avg plies 123, checkmate 23, insufficient_material 1, threefold_repetition 9
game 34/100: A black -> loss (checkmate, 47 plies)  |  A vs B: +14 =10 -10 over 34 games, score 55.9%, elo +41 (95% -58..+148), avg plies 121, checkmate 24, insufficient_material 1, threefold_repetition 9
game 35/100: A white -> win (checkmate, 143 plies)  |  A vs B: +15 =10 -10 over 35 games, score 57.1%, elo +50 (95% -48..+157), avg plies 122, checkmate 25, insufficient_material 1, threefold_repetition 9
game 36/100: A black -> loss (checkmate, 113 plies)  |  A vs B: +15 =10 -11 over 36 games, score 55.6%, elo +39 (95% -59..+143), avg plies 122, checkmate 26, insufficient_material 1, threefold_repetition 9
game 37/100: A white -> win (checkmate, 63 plies)  |  A vs B: +16 =10 -11 over 37 games, score 56.8%, elo +47 (95% -49..+152), avg plies 120, checkmate 27, insufficient_material 1, threefold_repetition 9
game 38/100: A black -> win (checkmate, 138 plies)  |  A vs B: +17 =10 -11 over 38 games, score 57.9%, elo +55 (95% -40..+160), avg plies 120, checkmate 28, insufficient_material 1, threefold_repetition 9
game 39/100: A white -> win (checkmate, 99 plies)  |  A vs B: +18 =10 -11 over 39 games, score 59.0%, elo +63 (95% -31..+167), avg plies 120, checkmate 29, insufficient_material 1, threefold_repetition 9
game 40/100: A black -> loss (checkmate, 161 plies)  |  A vs B: +18 =10 -12 over 40 games, score 57.5%, elo +53 (95% -41..+155), avg plies 121, checkmate 30, insufficient_material 1, threefold_repetition 9
game 41/100: A white -> draw (threefold_repetition, 119 plies)  |  A vs B: +18 =11 -12 over 41 games, score 57.3%, elo +51 (95% -40..+150), avg plies 121, checkmate 30, insufficient_material 1, threefold_repetition 10
game 42/100: A black -> win (checkmate, 142 plies)  |  A vs B: +19 =11 -12 over 42 games, score 58.3%, elo +58 (95% -32..+158), avg plies 121, checkmate 31, insufficient_material 1, threefold_repetition 10
game 43/100: A white -> draw (threefold_repetition, 155 plies)  |  A vs B: +19 =12 -12 over 43 games, score 58.1%, elo +57 (95% -31..+153), avg plies 122, checkmate 31, insufficient_material 1, threefold_repetition 11
game 44/100: A black -> loss (checkmate, 113 plies)  |  A vs B: +19 =12 -13 over 44 games, score 56.8%, elo +48 (95% -40..+142), avg plies 122, checkmate 32, insufficient_material 1, threefold_repetition 11
game 45/100: A white -> win (checkmate, 139 plies)  |  A vs B: +20 =12 -13 over 45 games, score 57.8%, elo +54 (95% -32..+149), avg plies 122, checkmate 33, insufficient_material 1, threefold_repetition 11
game 46/100: A black -> win (checkmate, 112 plies)  |  A vs B: +21 =12 -13 over 46 games, score 58.7%, elo +61 (95% -25..+156), avg plies 122, checkmate 34, insufficient_material 1, threefold_repetition 11
game 47/100: A white -> loss (checkmate, 94 plies)  |  A vs B: +21 =12 -14 over 47 games, score 57.4%, elo +52 (95% -34..+145), avg plies 121, checkmate 35, insufficient_material 1, threefold_repetition 11
game 48/100: A black -> draw (threefold_repetition, 156 plies)  |  A vs B: +21 =13 -14 over 48 games, score 57.3%, elo +51 (95% -33..+142), avg plies 122, checkmate 35, insufficient_material 1, threefold_repetition 12
game 49/100: A white -> loss (checkmate, 116 plies)  |  A vs B: +21 =13 -15 over 49 games, score 56.1%, elo +43 (95% -41..+132), avg plies 122, checkmate 36, insufficient_material 1, threefold_repetition 12
game 50/100: A black -> win (checkmate, 100 plies)  |  A vs B: +22 =13 -15 over 50 games, score 57.0%, elo +49 (95% -34..+138), avg plies 122, checkmate 37, insufficient_material 1, threefold_repetition 12
