16 bots, 12000 games total, 0 already done, 12000 to play, 12 workers
[55/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (6.3s) | elapsed 1m, eta 180m
[56/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (12.1s) | elapsed 1m, eta 179m
[57/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (6.5s) | elapsed 1m, eta 177m
[58/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (6.2s) | elapsed 1m, eta 177m
[59/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (12.1s) | elapsed 1m, eta 176m
[60/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (6.6s) | elapsed 1m, eta 182m
[61/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (12.4s) | elapsed 1m, eta 180m
[62/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (6.6s) | elapsed 1m, eta 181m
[63/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (7.0s) | elapsed 1m, eta 181m
[64/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (12.4s) | elapsed 1m, eta 179m
[65/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (12.5s) | elapsed 1m, eta 178m
[66/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (6.9s) | elapsed 1m, eta 176m
[67/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.2s) | elapsed 1m, eta 175m
[68/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.0s) | elapsed 1m, eta 179m
[69/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (12.1s) | elapsed 1m, eta 176m
[70/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (6.8s) | elapsed 1m, eta 175m
[71/12000] 01_negamax vs 02_alpha_beta_pruning: black by checkmate (18.0s) | elapsed 1m, eta 173m
[72/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (6.7s) | elapsed 1m, eta 174m
[73/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (6.8s) | elapsed 1m, eta 175m
[74/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (7.1s) | elapsed 1m, eta 176m
[75/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.1s) | elapsed 1m, eta 176m
